Date,Open,High,Low,Close,Adj Close,Volume
2008-07-03,100.940002,101.879997,100.760002,101.480003,71.460800,1658900
2008-07-07,101.709999,103.660004,101.370003,102.620003,72.263565,3525100
2008-07-08,102.720001,104.269997,102.260002,103.809998,73.101563,3712900
2008-07-09,104.129997,104.129997,102.309998,102.309998,72.045273,2873900
2008-07-10,102.309998,103.639999,101.769997,103.510002,72.890289,2665800
2008-07-11,102.540001,103.730003,101.500000,102.680000,72.305817,2932900
2008-07-14,103.510002,103.510002,100.620003,101.989998,71.819939,2145400
2008-07-15,101.379997,102.739998,100.779999,101.650002,71.580521,3040800
2008-07-16,101.250000,102.050003,98.730003,100.739998,70.939705,4298300
2008-07-17,100.809998,101.480003,98.010002,100.260002,70.601692,3685900
2008-07-18,100.239998,101.389999,99.739998,100.989998,71.115730,2327400
2008-07-21,100.820000,102.339996,100.400002,101.589996,71.538246,2621600
2008-07-22,100.830002,104.930000,100.830002,103.879997,73.150864,4131500
2008-07-23,103.900002,107.430000,103.419998,106.839996,75.235237,2863500
2008-07-24,106.889999,106.889999,104.440002,104.750000,73.763474,2716500
2008-07-25,105.540001,105.800003,104.500000,104.620003,73.671928,1685400
2008-07-28,104.599998,105.489998,103.050003,103.349998,72.777626,2653300
2008-07-29,102.779999,104.500000,102.779999,103.919998,73.179008,1929300
2008-07-30,104.389999,106.379997,103.389999,104.129997,73.326881,2264300
2008-07-31,103.680000,105.750000,103.400002,104.330002,73.467728,1976300
2008-08-01,104.500000,105.150002,102.860001,103.970001,73.214211,1688200
2008-08-04,104.000000,105.750000,103.730003,104.599998,73.657867,1271200
2008-08-05,105.489998,108.129997,105.059998,108.099998,76.122505,2648700
2008-08-06,107.900002,107.980003,106.160004,107.389999,75.622528,2564900
2008-08-07,106.910004,108.599998,106.500000,108.290001,76.256310,2253900
2008-08-08,107.949997,112.059998,107.599998,112.059998,78.911087,3093700
2008-08-11,111.739998,113.010002,110.070000,112.879997,79.488503,4045000
2008-08-12,112.820000,114.410004,111.980003,114.389999,80.551834,4132400
2008-08-13,113.949997,114.800003,111.089996,112.970001,79.551910,4197800
2008-08-14,112.550003,113.720001,111.019997,113.180000,79.699776,2956800
2008-08-15,113.379997,117.040001,113.290001,116.669998,82.157372,4938500
2008-08-18,116.730003,116.730003,114.019997,115.250000,81.157448,3169000
2008-08-19,114.510002,116.050003,114.510002,115.739998,81.502510,2727800
2008-08-20,115.809998,115.809998,113.019997,114.250000,80.453247,4144800
2008-08-21,113.760002,115.389999,112.550003,115.040001,81.009575,2238000
2008-08-22,115.349998,115.980003,114.239998,115.769997,81.523628,2390500
2008-08-25,115.029999,115.410004,113.639999,114.260002,80.460304,1679500
